Date,Open,High,Low,Close,Volume,Adj Close
2017-10-01,10789.72,10907.41,9.14,2.68,4298910000,10829.68
2017-09-30,10835.96,10960.99,10732.27,10788.05,4284160000,10788.05
2017-09-29,10857.98,10901.96,10759.75,10835.28,3990280000,10835.28
2017-09-28,10809.85,10905.44,10714.03,10858.14,4025840000,10858.14
2017-09-27,10860.03,10902.52,10776.44,10812.04,3587860000,10812.04
2017-09-24,10664.39,10897.83,10664.39,10860.26,4123950000,10860.26
2017-09-23,10738.48,10779.65,10610.12,10662.42,3847850000,10662.42
